;accessionNumber;filingDate;reportDate;acceptanceDateTime;act;form;fileNumber;filmNumber;items;size;isXBRL;isInlineXBRL;primaryDocument;primaryDocDescription
377;9999999997-20-000037;2020-01-03;;2020-01-03T08:49:01.000Z;34;CT ORDER;001-34756;20503393;20200103,20200103;119878;0;0;filename1.pdf;
378;0001564590-20-000161;2020-01-03;2020-01-03;2020-01-03T08:21:52.000Z;34;8-K;001-34756;20503375;2.02,7.01,9.01;182168;1;1;tsla-8k_20200103.htm;8-K
379;9999999997-19-008093;2019-12-31;;2019-12-31T12:37:00.000Z;33;CT ORDER;333-164593;191318807;20191231,20191231;127102;0;0;filename1.pdf;
380;0001495158-19-000006;2019-12-26;2019-12-23;2019-12-26T21:10:07.000Z;;4;;;;8592;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
381;0001564590-19-046961;2019-12-26;2019-12-18;2019-12-26T17:01:55.000Z;34;8-K;001-34756;191311019;1.01,1.02,2.03;167204;1;1;tsla-8k_20191218.htm;8-K
382;0001790565-19-000004;2019-12-19;2019-12-17;2019-12-19T20:10:49.000Z;;4;;;;4588;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
383;0001494730-19-000003;2019-12-18;2019-12-16;2019-12-18T21:12:45.000Z;;4;;;;4836;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
384;0001771364-19-000016;2019-12-09;2019-12-05;2019-12-09T21:42:11.000Z;;4;;;;30609;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
385;0001771340-19-000014;2019-12-09;2019-12-05;2019-12-09T20:48:19.000Z;;4;;;;23485;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
386;0001790565-19-000003;2019-12-09;2019-12-05;2019-12-09T20:26:51.000Z;;4;;;;16067;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
387;0001584518-19-000011;2019-12-09;2019-12-05;2019-12-09T20:10:10.000Z;;4;;;;12350;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
388;0001584518-19-000010;2019-12-04;2019-12-02;2019-12-04T20:25:03.000Z;;4;;;;8445;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
389;0001771340-19-000013;2019-11-26;2019-11-22;2019-11-26T20:49:56.000Z;;4;;;;16854;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
390;0001771364-19-000015;2019-11-20;2019-11-18;2019-11-20T20:36:26.000Z;;4;;;;4587;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
391;0001771340-19-000012;2019-11-19;2019-11-15;2019-11-19T20:40:18.000Z;;4;;;;8622;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
392;0001771340-19-000011;2019-11-15;2019-11-13;2019-11-15T20:32:28.000Z;;4;;;;4336;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
393;0001494731-19-000001;2019-11-14;2019-11-12;2019-11-14T21:05:27.000Z;;4;;;;15177;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
394;0001584518-19-000009;2019-11-05;2019-11-01;2019-11-05T21:01:32.000Z;;4;;;;8446;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
395;0001790565-19-000002;2019-11-01;2019-10-30;2019-11-01T19:48:15.000Z;;4;;;;9559;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
396;0001584518-19-000008;2019-10-29;2019-10-25;2019-10-29T19:49:27.000Z;;4;;;;8445;0;0;xslF345X03/edgardoc.xml;PRIMARY DOCUMENT
397;0001564590-19-038256;2019-10-29;2019-09-30;2019-10-29T07:23:29.000Z;34;10-Q;001-34756;191174466;;22423532;1;1;tsla-10q_20190930.htm;10-Q
